Date,Close,Prediction
2013-04-29 23:59:59,150.39,158.61
2013-04-30 23:59:59,152.94,159.92
2013-05-01 23:59:59,155.81,159.12
2013-05-02 23:59:59,157.18,159.36
2013-05-03 23:59:59,158.04,160.7
2013-05-04 23:59:59,157.1,160.63
2013-05-05 23:59:59,157.78,159.84
2013-05-06 23:59:59,157.48,161.72
2013-05-07 23:59:59,157.12,160.17
2013-05-08 23:59:59,155.81,159.45
2013-05-09 23:59:59,157.12,158.54
2013-05-10 23:59:59,156.57,157.57
2013-05-11 23:59:59,156.46,156.71
2013-05-12 23:59:59,157.45,156.57
2013-05-13 23:59:59,157.69,158.31
2013-05-14 23:59:59,159.05,156.54
2013-05-15 23:59:59,158.77,157.03
2013-05-16 23:59:59,159.84,157.59
2013-05-17 23:59:59,160.21,158.12
2013-05-18 23:59:59,160.91,158.61
2013-05-19 23:59:59,159.97,158.32
2013-05-20 23:59:59,160.62,157.92
2013-05-21 23:59:59,160.27,157.69
2013-05-22 23:59:59,158.5,156.67
2013-05-23 23:59:59,157.12,156.97
2013-05-24 23:59:59,158.61,157.9
2013-05-25 23:59:59,159.92,157.37
2013-05-26 23:59:59,159.12,156.62
2013-05-27 23:59:59,159.36,155.16
2013-05-28 23:59:59,160.7,154.06
2013-05-29 23:59:59,160.63,154.11
2013-05-30 23:59:59,159.84,154.06
2013-05-31 23:59:59,161.72,154.55
2013-06-01 23:59:59,160.17,153.51
2013-06-02 23:59:59,159.45,151.45
2013-06-03 23:59:59,158.54,153.46
2013-06-04 23:59:59,157.57,156.2
2013-06-05 23:59:59,156.71,153.86
2013-06-06 23:59:59,156.57,151.51
2013-06-07 23:59:59,158.31,152.43
2013-06-08 23:59:59,156.54,152.57
2013-06-09 23:59:59,157.03,153.3
2013-06-10 23:59:59,157.59,152.64
2013-06-11 23:59:59,158.12,153.59
2013-06-12 23:59:59,158.61,152.59
2013-06-13 23:59:59,158.32,153.76
2013-06-14 23:59:59,157.92,153.73
2013-06-15 23:59:59,157.69,153.5
2013-06-16 23:59:59,156.67,158.56
2013-06-17 23:59:59,156.97,161.99
2013-06-18 23:59:59,157.9,164.09
2013-06-19 23:59:59,157.37,164.06
2013-06-20 23:59:59,156.62,164.14
2013-06-21 23:59:59,155.16,162.99
2013-06-22 23:59:59,154.06,163.41
2013-06-23 23:59:59,154.11,164.29
2013-06-24 23:59:59,154.06,162.44
2013-06-25 23:59:59,154.55,160.72
2013-06-26 23:59:59,153.51,160.47
2013-06-27 23:59:59,151.45,160.06
2013-06-28 23:59:59,153.46,158.76
2013-06-29 23:59:59,156.2,157.8
2013-06-30 23:59:59,153.86,158.32
2013-07-01 23:59:59,151.51,157.5
2013-07-02 23:59:59,152.43,157.27
2013-07-03 23:59:59,152.57,157.07
2013-07-04 23:59:59,153.3,157.65
2013-07-05 23:59:59,152.64,156.8
2013-07-06 23:59:59,153.59,156.25
2013-07-07 23:59:59,152.59,157.13
2013-07-08 23:59:59,153.76,157.54
2013-07-09 23:59:59,153.73,157.89
2013-07-10 23:59:59,153.5,158.66
2013-07-11 23:59:59,158.56,158.2
2013-07-12 23:59:59,161.99,157.38
2013-07-13 23:59:59,164.09,155.02
2013-07-14 23:59:59,164.06,155.99
2013-07-15 23:59:59,164.14,157.41
2013-07-16 23:59:59,162.99,156.0
2013-07-17 23:59:59,163.41,156.13
2013-07-18 23:59:59,164.29,158.0
2013-07-19 23:59:59,162.44,156.94
2013-07-20 23:59:59,160.72,158.56
2013-07-21 23:59:59,160.47,159.13
2013-07-22 23:59:59,160.06,159.27
2013-07-23 23:59:59,158.76,157.31
2013-07-24 23:59:59,157.8,158.68
2013-07-25 23:59:59,158.32,158.76
2013-07-26 23:59:59,157.5,158.97
2013-07-27 23:59:59,157.27,160.75
2013-07-28 23:59:59,157.07,161.14
2013-07-29 23:59:59,157.65,160.42
2013-07-30 23:59:59,156.8,160.38
2013-07-31 23:59:59,156.25,160.01
2013-08-01 23:59:59,157.13,160.35
2013-08-02 23:59:59,157.54,159.84
2013-08-03 23:59:59,157.89,158.26
2013-08-04 23:59:59,158.66,158.39
2013-08-05 23:59:59,158.2,158.59
2013-08-06 23:59:59,157.38,159.31
2013-08-07 23:59:59,155.02,158.33
2013-08-08 23:59:59,155.99,157.95
2013-08-09 23:59:59,157.41,157.53
2013-08-10 23:59:59,156.0,156.72
2013-08-11 23:59:59,156.13,153.52
2013-08-12 23:59:59,158.0,157.85
2013-08-13 23:59:59,156.94,158.58
2013-08-14 23:59:59,158.56,158.7
2013-08-15 23:59:59,159.13,158.21
2013-08-16 23:59:59,159.27,158.99
2013-08-17 23:59:59,157.31,158.26
2013-08-18 23:59:59,158.68,157.88
2013-08-19 23:59:59,158.76,158.35
2013-08-20 23:59:59,158.97,160.74
2013-08-21 23:59:59,160.75,160.99
2013-08-22 23:59:59,161.14,163.53
2013-08-23 23:59:59,160.42,163.71
2013-08-24 23:59:59,160.38,168.25
2013-08-25 23:59:59,160.01,169.34
2013-08-26 23:59:59,160.35,170.01
2013-08-27 23:59:59,159.84,171.16
2013-08-28 23:59:59,158.26,171.16
2013-08-29 23:59:59,158.39,170.73
2013-08-30 23:59:59,158.59,170.51
2013-08-31 23:59:59,159.31,169.47
2013-09-01 23:59:59,158.33,168.8
2013-09-02 23:59:59,157.95,170.35
2013-09-03 23:59:59,157.53,169.96
2013-09-04 23:59:59,156.72,170.22
2013-09-05 23:59:59,153.52,171.27
2013-09-06 23:59:59,157.85,171.75
2013-09-07 23:59:59,158.58,170.95
2013-09-08 23:59:59,158.7,168.14
2013-09-09 23:59:59,158.21,171.28
2013-09-10 23:59:59,158.99,170.84
2013-09-11 23:59:59,158.26,172.81
2013-09-12 23:59:59,157.88,172.66
2013-09-13 23:59:59,158.35,171.25
2013-09-14 23:59:59,160.74,170.89
2013-09-15 23:59:59,160.99,170.06
2013-09-16 23:59:59,163.53,170.44
2013-09-17 23:59:59,163.71,171.53
2013-09-18 23:59:59,168.25,171.07
2013-09-19 23:59:59,169.34,172.91
2013-09-20 23:59:59,170.01,173.48
2013-09-21 23:59:59,171.16,173.0
2013-09-22 23:59:59,171.16,171.96
2013-09-23 23:59:59,170.73,172.35
2013-09-24 23:59:59,170.51,170.75
2013-09-25 23:59:59,169.47,171.03
2013-09-26 23:59:59,168.8,170.77
2013-09-27 23:59:59,170.35,170.71
2013-09-28 23:59:59,169.96,169.17
2013-09-29 23:59:59,170.22,168.49
2013-09-30 23:59:59,171.27,166.87
2013-10-01 23:59:59,171.75,168.97
2013-10-02 23:59:59,170.95,168.85
2013-10-03 23:59:59,168.14,167.47
2013-10-04 23:59:59,171.28,169.17
2013-10-05 23:59:59,170.84,168.85
2013-10-06 23:59:59,172.81,170.36
2013-10-07 23:59:59,172.66,169.93
2013-10-08 23:59:59,171.25,174.16
2013-10-09 23:59:59,170.89,172.61
2013-10-10 23:59:59,170.06,172.21
2013-10-11 23:59:59,170.44,168.89
2013-10-12 23:59:59,171.53,164.32
2013-10-13 23:59:59,171.07,164.67
2013-10-14 23:59:59,172.91,164.7
2013-10-15 23:59:59,173.48,166.52
2013-10-16 23:59:59,173.0,167.54
2013-10-17 23:59:59,171.96,164.11
2013-10-18 23:59:59,172.35,169.24
2013-10-19 23:59:59,170.75,169.85
2013-10-20 23:59:59,171.03,172.34
2013-10-21 23:59:59,170.77,173.24
2013-10-22 23:59:59,170.71,169.51
2013-10-23 23:59:59,169.17,168.64
2013-10-24 23:59:59,168.49,171.5
2013-10-25 23:59:59,166.87,170.8
2013-10-26 23:59:59,168.97,172.94
2013-10-27 23:59:59,168.85,174.87
2013-10-28 23:59:59,167.47,174.17
2013-10-29 23:59:59,169.17,173.2
2013-10-30 23:59:59,168.85,174.04
2013-10-31 23:59:59,170.36,171.0
2013-11-01 23:59:59,169.93,170.42
2013-11-02 23:59:59,174.16,169.5
2013-11-03 23:59:59,172.61,171.24
2013-11-04 23:59:59,172.21,170.1
